x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,avanza
14.9,68.0,2,1,0,46,3,4,0,4.12,45.6,1,1,0.3,1.6,47.0,1,8.0,1
16.9,73.0,2,3,1,23,1,2,2,,19.2,4,2,10.3,21.6,37.0,1,5.0,1
8.3,87.0,4,3,0,36,1,1,1,3.18,91.0,4,1,0.5,12.5,53.0,0,1.0,1
1.8,74.0,4,3,1,33,2,4,3,4.61,74.0,7,2,0.9,23.9,71.0,1,6.0,1
0.5,49.0,3,4,1,30,1,8,1,4.76,56.0,5,3,15.5,3.0,37.0,1,6.0,0
5.8,85.0,4,1,1,49,3,4,2,3.04,44.8,2,0,,1.7,57.0,0,3.0,0
2.9,90.0,3,1,1,35,1,1,3,4.0,49.9,6,2,1.7,20.3,43.0,0,4.0,1
0.7,100.0,4,0,0,49,4,7,2,4.62,82.4,8,2,2.1,25.3,50.0,0,3.0,0
3.4,48.0,3,6,0,35,2,3,2,4.2,1.3,5,1,1.4,2.3,48.0,1,5.0,1
0.2,69.0,3,0,0,39,3,7,1,4.21,86.5,0,2,1.0,12.3,57.0,1,6.0,0
12.0,34.0,3,1,1,30,2,4,2,,4.7,1,1,0.3,2.2,48.0,1,3.0,1
1.5,73.0,3,3,0,30,4,9,1,4.12,61.6,5,0,0.1,1.0,42.0,1,7.0,1
5.4,57.0,5,1,1,39,4,3,2,3.9,33.3,2,2,2.8,9.4,26.0,1,5.0,1
1.9,94.0,3,2,1,39,3,3,1,4.11,67.8,1,3,3.0,36.0,53.0,1,3.0,1
3.7,53.0,4,1,0,40,5,7,2,3.39,8.6,2,2,5.7,10.7,59.0,0,2.0,0
4.0,40.0,4,1,1,38,2,3,3,3.37,55.6,4,1,0.4,6.7,51.0,0,8.0,1
1.0,58.0,3,2,1,23,4,9,1,3.74,85.5,3,2,2.9,4.0,49.0,1,6.0,1
17.5,35.0,4,2,0,28,3,9,1,3.65,49.5,1,2,10.3,4.0,72.0,0,1.0,1
7.5,76.0,3,2,1,43,3,9,2,3.74,8.4,5,1,,3.7,74.0,1,4.0,1
14.0,34.0,4,2,0,22,1,2,3,3.61,3.7,7,2,3.1,2.8,66.0,0,8.0,1
11.3,65.0,3,2,0,38,2,4,2,3.72,62.1,5,2,0.6,1.0,55.0,1,5.0,1
4.6,34.0,3,2,1,34,5,8,1,3.53,7.0,2,1,0.7,17.0,51.0,0,,1
12.7,60.0,3,4,1,43,4,9,3,3.78,7.1,0,2,2.6,4.5,34.0,1,5.0,1
0.5,90.0,3,1,0,39,2,2,1,3.23,42.5,2,2,3.8,2.0,21.0,1,3.0,1
1.1,70.0,2,1,1,29,3,3,3,,21.0,3,2,15.4,11.1,71.0,0,3.0,0
0.2,52.0,3,2,0,29,2,5,0,3.9,20.4,1,2,7.1,32.7,52.0,1,6.0,0
2.0,65.0,4,2,1,30,1,4,3,3.3,48.1,5,2,2.1,14.0,100.0,1,5.0,0
2.5,65.0,3,3,1,40,5,10,0,4.33,28.1,7,2,1.7,2.6,41.0,1,1.0,1
1.6,72.0,3,2,0,22,3,3,2,3.47,21.9,3,2,,6.4,56.0,0,4.0,0
8.8,44.0,3,1,1,36,3,9,2,4.28,51.4,1,1,0.0,20.9,65.0,0,4.0,1
2.2,74.0,3,3,0,27,5,9,2,3.93,29.1,1,3,,1.0,40.0,0,3.0,1
1.6,24.0,1,5,0,37,3,6,2,4.2,8.0,5,1,,4.9,46.0,0,5.0,0
3.9,56.0,4,2,1,38,3,6,1,3.87,68.3,2,1,0.7,5.9,47.0,0,5.0,0
0.8,58.0,5,3,0,22,2,5,0,4.03,58.6,3,3,15.7,7.2,44.0,0,5.0,0
8.1,74.0,3,1,1,33,3,5,1,4.2,21.2,5,0,5.1,9.8,56.0,1,1.0,1
0.4,65.0,1,4,1,36,3,3,2,4.56,58.2,4,3,2.4,8.2,51.0,0,4.0,0
21.7,44.0,2,3,0,36,1,3,2,4.23,95.6,3,2,7.8,2.1,19.0,0,6.0,1
7.4,50.0,3,2,0,34,4,7,0,3.98,95.6,2,1,0.8,6.5,52.0,1,5.0,0
1.1,68.0,3,3,0,24,4,3,1,3.26,53.2,2,2,2.0,5.5,56.0,0,5.0,0
0.0,64.0,4,2,0,25,4,3,1,3.0,9.8,2,1,1.4,31.8,49.0,0,5.0,0
8.4,56.0,3,1,0,23,5,9,2,3.75,45.8,0,2,21.6,16.3,75.0,1,4.0,0
6.1,58.0,4,1,0,40,2,2,3,3.51,2.7,2,2,9.3,24.1,55.0,1,4.0,0
6.5,75.0,3,3,1,34,2,1,0,3.53,41.5,3,2,3.0,14.8,50.0,1,2.0,0
7.4,57.0,3,4,1,35,4,9,3,3.77,90.9,8,2,2.2,1.0,64.0,0,2.0,1
0.4,64.0,3,5,0,22,2,1,3,4.07,46.7,4,3,24.0,7.7,84.0,1,3.0,0
2.2,98.0,2,3,0,35,1,2,0,3.55,55.0,2,2,0.9,18.1,48.0,0,2.0,0
0.6,44.0,3,2,1,41,1,3,2,4.16,15.8,4,1,2.1,10.7,66.0,0,3.0,0
9.9,37.0,4,0,1,22,4,5,2,,1.6,1,2,5.0,17.1,78.0,1,8.0,1
4.9,77.0,3,3,0,30,1,2,2,3.82,99.3,3,1,4.9,39.2,47.0,0,3.0,1
2.0,55.0,4,3,1,22,2,7,2,4.55,33.8,1,2,3.4,3.4,32.0,1,5.0,1
0.3,60.0,3,3,1,31,2,4,2,3.87,27.9,2,2,12.1,49.2,57.0,0,3.0,0
1.9,53.0,2,1,1,27,4,4,1,3.78,57.1,6,2,1.1,1.5,70.0,1,6.0,0
2.0,61.0,3,2,0,38,3,4,0,4.01,74.5,2,2,3.4,30.3,46.0,1,2.0,0
6.5,89.0,3,3,1,37,2,3,1,4.52,25.1,6,1,6.7,2.6,66.0,1,9.0,1
5.1,77.0,3,1,0,47,4,1,2,3.78,52.4,7,2,1.1,15.2,37.0,0,2.0,0
10.9,78.0,2,4,1,35,4,9,1,3.98,33.3,4,3,8.2,18.4,46.0,0,4.0,1
3.2,44.0,3,2,0,38,3,3,3,3.76,48.1,4,0,4.1,20.0,49.0,1,3.0,0
0.6,48.0,2,2,1,30,2,4,1,3.76,16.1,1,1,1.9,6.9,48.0,1,5.0,0
6.2,22.0,2,2,1,25,3,8,1,3.6,51.0,3,3,4.2,2.2,37.0,0,9.0,0
7.2,53.0,3,1,1,43,5,10,3,3.58,4.7,3,1,10.5,19.1,45.0,1,2.0,1
4.1,79.0,3,2,1,46,1,1,1,4.48,84.0,4,1,17.8,12.4,20.0,1,8.0,1
7.4,73.0,4,1,0,41,2,3,0,3.58,62.8,5,2,1.3,3.6,60.0,0,5.0,0
3.4,62.0,3,5,1,36,2,1,3,3.18,94.1,3,1,9.6,6.0,51.0,0,5.0,0
3.7,65.0,4,3,1,26,4,8,2,3.85,60.0,4,2,0.2,4.2,67.0,1,2.0,1
2.8,55.0,3,1,0,45,4,5,0,4.21,18.2,10,1,0.0,29.6,49.0,1,4.0,1
0.1,68.0,3,2,1,40,2,1,0,4.3,48.4,4,1,3.7,19.5,23.0,1,2.0,0
0.6,76.0,3,3,1,53,2,4,3,3.32,66.5,2,3,2.6,25.7,55.0,1,3.0,0
0.2,41.0,4,3,1,25,5,7,2,4.25,37.4,2,1,2.5,1.0,40.0,1,5.0,0
5.1,69.0,3,5,1,43,4,2,0,4.62,55.3,1,0,1.1,13.0,66.0,1,8.0,1
1.9,79.0,4,1,1,40,5,8,3,3.53,16.3,0,2,3.6,3.7,47.0,0,3.0,1
3.6,59.0,3,0,1,32,4,3,1,3.73,77.7,3,2,0.1,16.5,80.0,1,3.0,1
11.9,76.0,2,0,1,47,3,10,3,3.31,91.0,2,1,2.3,26.6,37.0,0,5.0,1
1.4,100.0,3,4,1,39,2,2,1,4.54,31.5,4,3,1.8,17.4,54.0,0,3.0,1
2.6,63.0,1,0,1,27,4,6,2,3.2,79.3,3,0,0.9,29.0,59.0,0,4.0,0
7.0,71.0,3,1,1,34,3,9,0,3.64,9.2,5,2,2.9,6.1,45.0,1,3.0,1
1.3,54.0,2,1,0,26,3,4,1,4.11,24.7,2,1,4.7,11.7,30.0,1,7.0,0
0.4,68.0,3,2,0,31,3,4,0,3.53,46.2,9,0,6.7,7.7,47.0,0,3.0,0
1.7,72.0,5,1,1,41,5,5,1,3.4,38.6,6,1,2.5,21.3,23.0,0,6.0,0
0.9,68.0,3,3,1,44,1,7,1,3.78,62.0,4,3,1.1,9.9,40.0,0,10.0,1
13.3,50.0,4,4,0,37,2,5,1,4.76,56.3,3,2,0.9,14.8,47.0,1,3.0,1
8.3,68.0,3,2,0,28,4,3,3,3.7,8.7,2,1,3.5,12.0,65.0,0,,1
5.0,87.0,3,3,0,38,5,7,0,3.72,13.2,3,2,2.0,23.8,54.0,1,4.0,1
10.3,72.0,4,2,1,42,5,10,1,3.35,5.2,2,2,1.5,9.0,44.0,1,1.0,0
8.1,79.0,4,2,1,22,3,5,2,3.95,95.3,2,1,3.0,1.4,43.0,1,1.0,1
1.0,61.0,4,2,1,36,1,3,2,4.15,64.5,3,1,3.3,35.7,42.0,0,0.0,0
11.2,76.0,3,2,0,33,3,6,2,3.56,85.6,4,1,1.1,9.7,64.0,1,6.0,1
3.9,69.0,3,4,0,44,5,10,2,4.01,54.1,3,2,1.9,18.3,28.0,0,8.0,1
8.2,51.0,3,1,0,38,3,9,3,3.56,19.4,3,0,4.9,13.6,37.0,0,4.0,0
11.3,70.0,3,1,0,39,4,8,2,3.04,62.7,0,2,2.0,6.8,28.0,0,4.0,0
1.9,50.0,3,1,1,31,2,7,3,3.98,50.5,4,3,2.3,36.3,59.0,1,2.0,1
0.6,56.0,4,5,0,35,1,5,2,4.63,40.8,4,2,4.1,15.8,73.0,0,5.0,0
1.3,68.0,4,4,0,43,3,1,2,3.32,37.2,2,2,0.8,3.2,59.0,0,3.0,0
2.8,69.0,3,1,0,34,4,2,1,3.87,65.0,4,1,8.1,50.0,60.0,1,2.0,0
8.5,47.0,1,2,0,37,6,10,1,4.32,61.8,4,3,1.7,50.0,42.0,0,4.0,0
9.9,81.0,4,4,0,22,4,1,1,3.76,15.2,2,3,,4.1,57.0,1,0.0,1
0.0,74.0,2,0,0,34,3,8,1,3.23,81.6,2,1,1.4,50.0,39.0,0,2.0,0
3.6,54.0,3,3,0,22,4,8,1,3.82,63.6,2,3,4.2,11.5,41.0,0,9.0,1
2.7,42.0,1,3,0,30,4,5,2,4.4,53.6,4,3,1.3,2.5,49.0,1,5.0,0
1.3,63.0,3,3,0,36,1,2,1,3.6,74.9,3,3,5.5,45.9,51.0,1,4.0,1
0.6,58.0,5,4,1,42,6,5,2,3.89,15.4,4,1,0.4,1.3,77.0,0,3.0,1
2.1,67.0,2,2,1,26,3,1,3,3.38,92.0,3,3,1.5,12.2,63.0,0,3.0,0
14.3,60.0,3,2,1,38,6,9,1,3.76,27.1,5,1,3.4,21.8,52.0,1,3.0,1
2.0,35.0,3,1,1,48,4,2,1,3.95,26.3,3,1,4.0,21.2,76.0,1,5.0,0
3.7,59.0,4,3,1,29,2,8,1,3.85,81.5,4,0,0.6,1.0,86.0,1,5.0,1
6.1,60.0,4,3,0,22,2,2,3,3.63,33.4,1,1,1.5,6.6,50.0,1,3.0,0
2.3,75.0,3,2,0,38,3,8,3,3.98,83.1,2,0,0.4,1.1,56.0,0,5.0,0
17.8,55.0,2,2,0,24,2,1,3,4.07,32.8,1,1,7.2,3.6,31.0,1,6.0,1
16.4,90.0,3,2,0,28,3,5,1,4.09,55.1,6,2,16.5,33.4,52.0,0,3.0,1
1.5,36.0,3,5,1,43,4,4,1,3.68,23.1,4,0,,25.9,40.0,0,4.0,1
3.4,85.0,3,3,0,52,3,1,3,3.55,73.2,1,3,2.6,12.9,22.0,1,3.0,1
1.8,62.0,1,2,1,26,1,4,1,4.59,16.7,0,1,2.8,27.4,65.0,0,3.0,0
1.7,78.0,2,3,0,28,6,10,0,,89.9,5,0,0.7,4.6,52.0,1,4.0,0
0.2,66.0,3,4,1,31,3,1,1,3.7,37.2,2,1,4.4,21.1,37.0,1,1.0,0
4.7,82.0,3,3,1,30,5,7,3,3.21,47.2,2,0,,13.9,23.0,1,2.0,1
3.5,59.0,4,1,1,52,1,4,1,3.43,2.4,4,2,2.9,15.9,41.0,1,1.0,0
0.3,49.0,2,0,1,30,4,9,3,3.54,97.6,4,1,0.2,1.1,40.0,0,4.0,1
1.6,86.0,3,7,0,32,2,1,0,3.98,81.3,2,0,0.3,5.2,48.0,0,4.0,0
11.9,63.0,5,2,1,50,4,2,2,3.66,44.7,3,2,13.3,1.0,24.0,0,4.0,1
1.4,68.0,3,4,0,40,4,1,0,3.81,92.0,5,2,11.2,2.0,56.0,0,3.0,1
0.8,84.0,3,0,1,44,5,6,0,3.23,93.1,1,1,0.1,3.8,60.0,1,2.0,0
3.4,50.0,2,1,0,27,3,2,2,4.36,53.3,3,1,3.1,10.6,30.0,1,5.0,0
21.2,74.0,3,2,0,30,2,2,1,3.51,23.4,7,2,0.3,17.1,25.0,1,1.0,1
1.4,56.0,3,1,1,26,5,8,2,3.89,48.7,1,2,6.3,1.4,65.0,0,3.0,0
5.6,63.0,3,0,0,42,3,5,3,,32.5,5,1,0.2,1.0,48.0,1,8.0,1
7.2,66.0,4,1,0,46,2,1,0,3.67,44.8,2,3,3.2,25.8,60.0,1,4.0,0
1.4,42.0,3,1,0,30,3,5,0,3.48,91.1,0,1,3.9,1.7,52.0,0,2.0,0
6.5,53.0,3,0,1,32,2,1,2,3.92,28.2,1,2,0.4,7.1,49.0,1,2.0,1
2.3,85.0,3,2,1,32,2,2,3,3.41,83.9,3,2,3.6,1.4,66.0,1,3.0,1
5.0,78.0,3,3,1,22,3,4,2,3.93,93.5,2,1,11.4,9.2,63.0,0,1.0,0
5.0,64.0,2,2,1,29,2,1,1,3.75,80.5,3,1,0.4,1.3,56.0,1,3.0,1
3.8,69.0,3,8,0,42,3,8,2,4.05,52.7,4,2,4.6,17.2,57.0,1,3.0,1
0.5,61.0,3,1,1,27,3,3,1,4.09,56.4,2,1,,1.1,43.0,0,2.0,0
9.0,85.0,3,1,1,36,4,7,0,3.67,82.0,2,1,1.3,6.7,58.0,0,8.0,1
1.9,62.0,4,5,1,23,5,8,2,3.95,4.5,2,2,3.1,6.5,73.0,1,,1
1.0,68.0,3,2,0,34,2,3,3,3.62,73.6,0,2,10.5,30.4,65.0,1,4.0,0
0.2,82.0,4,1,0,30,4,6,1,4.33,52.9,3,3,1.0,6.7,22.0,1,4.0,0
4.5,53.0,3,2,0,24,5,2,2,3.66,39.7,4,0,20.0,1.0,57.0,0,3.0,0
5.7,88.0,3,2,0,42,4,2,1,3.72,76.7,6,2,0.4,9.4,58.0,1,3.0,1
0.1,42.0,4,3,0,43,6,7,2,3.61,26.6,6,3,11.3,15.5,67.0,0,3.0,0
3.6,89.0,3,3,0,26,3,5,3,3.51,89.6,5,2,0.1,4.9,69.0,0,2.0,1
1.3,59.0,3,1,0,33,4,5,1,4.61,68.8,4,2,0.7,11.3,57.0,1,5.0,1
5.2,61.0,2,1,0,35,4,7,0,3.99,61.0,3,3,15.0,1.6,31.0,0,4.0,0
1.0,37.0,3,4,1,22,3,1,2,3.83,52.3,4,3,1.2,6.6,48.0,1,2.0,0
5.9,58.0,3,3,1,22,4,10,2,3.61,21.3,3,2,0.0,2.2,38.0,1,4.0,1
2.4,49.0,5,2,0,47,3,3,2,4.25,61.7,4,2,8.7,3.8,33.0,1,3.0,0
13.8,56.0,3,3,1,25,2,2,3,3.58,72.5,2,1,9.8,12.3,71.0,0,5.0,0
0.7,63.0,4,3,1,46,2,7,1,3.85,1.2,2,1,5.5,16.8,43.0,0,8.0,0
2.1,79.0,3,1,1,23,4,1,2,4.68,36.6,0,2,11.2,4.5,80.0,0,1.0,0
0.6,68.0,3,3,1,41,4,10,2,3.42,83.2,1,1,1.2,50.0,44.0,0,6.0,0
12.9,70.0,3,0,0,32,3,1,1,4.02,63.2,2,2,4.1,4.0,39.0,1,4.0,1
10.5,49.0,4,1,1,33,3,2,3,3.92,61.5,3,1,5.4,2.0,59.0,0,4.0,1
1.5,52.0,4,3,0,52,2,2,2,4.01,22.9,1,3,14.5,24.3,49.0,1,9.0,0
5.4,92.0,2,0,0,24,3,5,2,3.69,63.2,2,3,9.1,12.6,54.0,0,4.0,0
8.5,54.0,3,2,1,40,5,9,3,3.56,78.6,2,2,0.2,13.7,42.0,1,3.0,0
4.1,90.0,3,3,1,40,5,4,1,,40.2,1,1,1.7,19.0,42.0,1,5.0,1
3.8,61.0,1,4,0,65,4,2,2,3.62,18.2,4,2,3.8,50.0,43.0,1,0.0,0
1.4,65.0,3,1,1,25,6,2,2,3.0,7.7,5,1,7.7,4.0,34.0,1,,1
0.5,81.0,4,3,0,29,5,7,3,3.47,50.6,2,1,1.3,9.5,64.0,0,1.0,0
11.4,84.0,3,0,1,42,2,7,1,3.67,68.4,4,3,0.0,14.6,53.0,0,7.0,1
11.5,63.0,3,1,0,33,3,4,2,3.37,16.3,5,0,0.8,1.9,52.0,0,4.0,1
5.0,59.0,3,1,0,31,2,5,0,3.86,42.1,3,1,2.2,4.4,60.0,0,2.0,0
2.1,64.0,3,3,1,44,3,3,3,,56.9,1,2,0.3,4.4,55.0,1,0.0,1
2.1,70.0,2,2,0,33,4,2,2,3.78,15.6,0,0,,4.8,84.0,1,5.0,0
6.5,78.0,3,0,0,27,2,3,2,4.67,27.0,4,0,2.1,15.2,56.0,1,4.0,1
11.4,65.0,4,2,0,42,5,10,0,4.29,60.8,6,2,4.2,10.8,19.0,1,5.0,1
10.9,74.0,3,2,0,38,3,9,2,4.04,72.5,1,0,5.0,15.1,43.0,1,4.0,1
7.6,90.0,1,4,1,32,4,5,0,4.52,63.6,4,1,3.0,8.6,36.0,0,10.0,1
5.1,71.0,3,3,0,32,1,2,3,3.77,71.4,4,2,2.3,37.3,57.0,1,4.0,1
0.4,70.0,2,5,1,27,1,1,3,,58.2,5,1,0.1,8.8,44.0,0,6.0,0
0.9,42.0,3,2,0,42,4,6,0,3.38,83.6,3,2,1.2,11.1,58.0,1,4.0,0
11.4,26.0,4,4,0,32,4,4,2,4.31,82.7,2,3,4.4,4.3,40.0,0,3.0,1
4.7,71.0,2,3,0,28,5,10,2,4.58,79.6,0,2,2.4,1.0,53.0,0,5.0,0
0.0,64.0,4,5,1,23,4,6,3,4.16,57.5,6,3,1.2,20.3,42.0,0,2.0,1
0.5,57.0,3,0,0,39,2,6,2,4.37,99.4,2,1,1.0,23.3,45.0,1,7.0,0
5.4,69.0,3,1,0,30,2,3,3,3.0,3.9,4,1,0.1,22.8,53.0,0,4.0,0
0.0,64.0,5,2,0,22,5,10,1,4.74,19.6,1,1,7.0,19.4,57.0,1,3.0,0
0.9,82.0,2,2,1,24,2,2,0,3.76,80.9,3,3,8.4,3.8,71.0,1,5.0,1
4.0,66.0,4,1,0,33,4,5,2,4.74,82.6,0,1,,10.3,67.0,0,1.0,1
5.9,54.0,2,3,1,33,3,1,2,4.49,81.9,3,2,4.8,20.2,64.0,0,9.0,1
5.3,80.0,3,6,0,33,3,6,1,4.11,87.3,3,2,0.3,11.8,56.0,1,5.0,1
1.3,62.0,4,5,0,32,3,5,1,3.66,42.3,3,0,8.8,38.2,43.0,1,0.0,0
6.2,73.0,4,0,0,22,5,10,3,3.86,93.2,3,3,,13.6,59.0,0,3.0,1
1.4,58.0,3,2,0,27,5,9,2,3.04,20.9,4,2,0.7,9.9,68.0,0,4.0,0
2.0,55.0,3,0,1,46,5,9,1,4.17,93.7,2,1,6.1,50.0,68.0,1,4.0,0
6.9,66.0,3,3,1,44,3,2,3,3.0,55.7,2,3,2.6,9.2,50.0,0,5.0,1
5.2,65.0,4,1,0,40,2,7,0,3.68,16.4,5,2,4.6,40.9,45.0,0,4.0,0
9.5,72.0,2,4,0,39,6,1,0,4.42,73.6,1,2,2.6,1.0,62.0,1,3.0,1
5.4,61.0,4,2,0,43,2,5,1,4.09,29.6,4,3,0.3,9.6,13.0,1,7.0,0
4.2,37.0,3,3,0,25,3,5,3,,22.0,3,2,7.3,4.1,74.0,1,2.0,1
0.5,59.0,3,0,0,35,2,5,2,3.26,17.2,2,0,0.4,6.0,68.0,0,2.0,1
2.3,77.0,3,2,1,25,3,5,1,3.56,2.9,2,3,1.8,1.1,46.0,0,,0
1.5,61.0,3,2,0,25,3,6,0,3.83,76.5,2,2,17.1,3.7,45.0,0,,0
1.4,61.0,4,1,1,38,5,8,2,,48.7,3,1,2.2,10.1,81.0,1,3.0,1
18.1,80.0,3,4,0,44,6,9,2,4.04,97.9,2,3,6.9,15.3,34.0,1,5.0,1
2.5,54.0,5,1,0,33,3,4,3,3.38,43.9,3,0,0.7,28.9,46.0,0,1.0,0
11.1,42.0,2,1,0,50,1,4,2,4.05,84.3,1,2,7.1,3.2,76.0,1,7.0,0
5.0,63.0,3,1,0,37,4,3,0,4.09,96.8,3,1,2.5,19.0,34.0,0,3.0,0
7.9,58.0,4,3,0,28,3,7,2,4.0,2.2,4,0,2.9,1.0,52.0,1,2.0,1
3.5,51.0,3,2,0,25,6,7,1,4.79,10.5,4,1,13.9,26.9,46.0,1,6.0,0
4.3,62.0,3,0,0,44,1,2,3,4.09,34.8,7,1,8.7,10.8,81.0,1,2.0,0
3.4,72.0,3,6,1,36,2,5,0,4.19,87.0,2,2,1.7,22.4,42.0,1,2.0,0
1.1,65.0,4,2,0,41,4,8,1,4.55,83.8,1,2,11.9,3.5,30.0,1,2.0,0
6.4,70.0,4,1,1,22,4,7,1,4.14,36.7,6,2,0.4,5.6,54.0,1,7.0,1
1.6,92.0,2,1,0,37,3,9,0,3.58,20.0,3,1,0.1,1.2,42.0,1,2.0,1
0.1,60.0,4,4,1,30,2,1,1,4.3,80.2,1,3,3.0,1.0,59.0,1,4.0,1
5.2,69.0,3,4,0,22,3,4,1,3.64,59.7,2,3,5.9,21.0,57.0,0,5.0,1
1.0,57.0,3,2,0,34,3,4,1,3.41,3.2,2,1,1.0,4.2,32.0,1,5.0,0
14.1,52.0,4,5,1,45,2,2,1,3.44,80.4,4,2,0.3,5.2,78.0,1,2.0,1
15.4,56.0,3,1,0,55,5,7,3,4.29,95.7,0,2,7.5,9.1,41.0,0,6.0,1
12.3,58.0,4,0,1,37,1,4,2,4.05,4.2,4,3,17.2,13.3,42.0,1,7.0,1
2.3,70.0,3,4,1,29,3,4,3,4.22,28.6,3,3,4.7,1.0,59.0,0,3.0,0
0.1,100.0,1,7,0,28,4,4,0,4.05,81.9,1,0,14.8,10.2,74.0,1,1.0,0
13.2,54.0,3,3,1,44,1,3,1,3.88,58.5,3,3,7.2,11.3,31.0,1,4.0,1
2.8,59.0,2,2,1,26,5,5,2,3.93,98.9,6,0,1.2,22.8,43.0,1,6.0,0
17.0,64.0,4,1,1,41,4,4,1,4.04,91.6,4,2,0.5,2.0,64.0,0,5.0,1
16.6,71.0,3,2,1,38,1,1,1,3.56,17.8,2,1,6.6,7.2,41.0,1,1.0,1
9.6,69.0,3,1,0,37,5,10,3,3.28,67.4,2,1,4.3,7.7,52.0,1,4.0,0
1.7,84.0,2,1,0,22,3,4,2,3.61,65.3,1,2,6.7,22.6,44.0,1,3.0,0
2.4,29.0,3,3,1,32,4,8,1,4.02,11.1,4,2,5.1,5.4,57.0,0,5.0,1
9.5,29.0,4,3,0,22,5,9,2,3.54,9.0,3,1,2.8,1.0,31.0,1,3.0,0
1.9,58.0,2,6,0,30,5,6,0,4.65,56.9,4,3,11.3,11.0,55.0,0,2.0,1
0.9,81.0,3,3,0,43,3,3,2,3.98,40.3,5,0,5.6,13.0,57.0,1,2.0,1
4.1,42.0,4,1,1,46,2,4,0,3.85,54.5,5,1,0.0,10.5,60.0,1,4.0,0
13.8,20.0,3,4,0,37,2,8,0,3.56,23.9,2,3,4.9,8.1,42.0,1,2.0,0
6.0,74.0,4,3,1,30,4,3,0,4.17,55.7,2,3,3.1,2.9,72.0,1,4.0,1
